NAME,SPECS,PRICE,RATING
"Samsung Galaxy C7 Pro (Navy Blue, 64 GB)","4 GB RAM , 64 GB ROM , Expandable Upto 256 GB14.48 cm (5.7 inch) Full HD Display16MP Rear Camera , 16MP Front Camera3300 mAh BatteryQualcomm Snapdragon Octa-Core 2.2GHz Processor1 Year Manufacturer Warranty",26600,4.1
"Samsung Galaxy S9 Plus (Burgundy Red, 64 GB)","6 GB RAM , 64 GB ROM , Expandable Upto 400 GB15.75 cm (6.2 inch) Quad HD+ Display12MP + 12MP , 8MP Front Camera3500 mAh BatteryExynos 9810 ProcessorBrand Warranty of 1 Year Available for Mobile and 6 Months for Accessories",49900,4
Samsung Metro 313,"4 MB RAM , 2.27 MB ROM ,5.16 cm (2.03 inch) Display0.3MP Rear Camera1000 mAh BatteryNA Processor1 Year Manufacturer Warranty",2149,4.1
"Samsung Galaxy J6 (Blue, 32 GB)","3 GB RAM , 32 GB ROM , Expandable Upto 256 GB14.22 cm (5.6 inch) HD+ Display13MP Rear Camera , 8MP Front Camera3000 mAh BatteryExynos 7870 ProcessorBrand Warranty of 1 Year Available for Mobile and 6 Months for Accessories",10490,4.1
"Samsung Galaxy S10 Plus (Ceramic White, 1 TB)","12 GB RAM , 1 TB ROM , Expandable Upto 512 GB16.26 cm (6.4 inch) Quad HD+ Display16MP + 12MP , 10MP + 8MP Dual Front Camera4100 mAh Lithium-ion BatteryExynos 9 9820 ProcessorBrand Warranty of 1 Year Available for Mobile and 6 Months for Accessories",117900,4
"Samsung Galaxy A20 (Deep Blue, 32 GB)","3 GB RAM , 32 GB ROM , Expandable Upto 512 GB16.26 cm (6.4 inch) HD+ Display13MP + 5MP , 8MP Front Camera4000 mAh Lithium-ion BatteryExynos 7884B ProcessorBrand Warranty of 1 Year Available for Mobile and 6 Months for Accessories",11490,4.1
"Samsung Galaxy S9 Plus (Polaris Blue, 64 GB)","6 GB RAM , 64 GB ROM , Expandable Upto 400 GB15.75 cm (6.2 inch) Quad HD+ Display12MP + 12MP , 8MP Front Camera3500 mAh BatteryExynos 9810 ProcessorBrand Warranty of 1 Year Available for Mobile and 6 Months for Accessories",57900,4
"Samsung Galaxy On Max (Gold, 32 GB)","4 GB RAM , 32 GB ROM , Expandable Upto 256 GB14.48 cm (5.7 inch) Full HD Display13MP Rear Camera , 13MP Front Camera3300 mAh BatteryMediaTek MTK6757V/WL 2.39GHz, 1.69GHz, Octa Core ProcessorBrand Warranty of 1 Year",8990,4
"Samsung Galaxy On Nxt (Black, 64 GB)","3 GB RAM , 64 GB ROM , Expandable Upto 256 GB13.97 cm (5.5 inch) Full HD Display13MP Rear Camera , 8MP Front Camera3300 mAh Li-Ion BatteryExynos 7870 Octa Core 1.6GHz ProcessorBrand Warranty of 1 Year",10990,4
"Samsung Galaxy A50 (White, 64 GB)","4 GB RAM , 64 GB ROM , Expandable Upto 512 GB16.26 cm (6.4 inch) FHD+ Display25MP + 5MP + 8MP , 25MP Front Camera4000 mAh Lithium-ion BatteryExynos 9610 ProcessorSuper AMOLED DisplayBrand Warranty of 1 Year Available for Mobile and 6 Months for Accessories",18490,4.1
